A.;Jag;Je t'aime Juliette;unknown;unknown;unknown;Je t'aime Juliette - A. Jag;OXC7Fd0ZN8o;A Jag Je t'aime Juliette OXC7FdZN8o;6955346875
Adiego Navarro;Tomas;Fidelidad;unknown;unknown;unknown;Tomas Adiego Navarro Gitanilla 1888;UB0my6R4RoA;Adiego Navarro Tomas Fidelidad UBmy6R4RoA;11703746875
Adiego Navarro;Tomas;Gitanilla;unknown;unknown;unknown;Tomas Adiego Navarro Gitanilla 1888;UB0my6R4RoA;Adiego Navarro Tomas Gitanilla UBmy6R4RoA;11703746875
Adiego Navarro;Tomas;Modestia;unknown;unknown;unknown;Tomas Adiego Navarro Gitanilla 1888;UB0my6R4RoA;Adiego Navarro Tomas Modestia UBmy6R4RoA;11703746875
Adler;Vincent;Grande marche Op.24;unknown;unknown;unknown;Vincent Adler. Grande Marche opus 24 Michel Cardinaux piano.;CVChKbwlaCA;Adler Vincent Grande marche Op24 CVChKbwlaCA;47545346875
Adler;Vincent;2 Impromptus Op.1;unknown;unknown;unknown;Vincent Adler: La Petite Mendiante (The little beggar-girl) Op. 1 No. 2;dTNY0zzHNxA;Adler Vincent 2 Impromptus Op1 dTNYzzHNxA;15948146875
Adler;Vincent;Valse rococo Op.11;unknown;unknown;unknown;Vincent Adler. Valse Rococo opus 11 Michel Cardinaux piano.;eegaa_igZcg;Adler Vincent Valse rococo Op11 eegaa_igZcg;31672946875
Ager;Milton;High Brown Blues;American;1893;1979;High Brown Blues - Ager & Yellen;sFydDlHrb7A;Ager Milton High Brown Blues sFydDlHrb7A;24512546875
Agnew;Roy;An Autumn Morning;Australian;1891;1944;Agnew: An Autumn Morning;KBcERxrDTPs;Agnew Roy An Autumn Morning KBcERxrDTPs;22845746875
Agnew;Roy;Before Dawn;Australian;1891;1944;Roy Agnew : Before Dawn (1934);Mfz6rusKaOY;Agnew Roy Before Dawn Mfz6rusKaOY;16992146875
Agnew;Roy;Contrasts;Australian;1891;1944;Agnew: Contrasts: A Piano Cycle In Five Pieces - 1. A Child's Dream;ZLksWOw5_54;Agnew Roy Contrasts ZLksWOw5_54;19929746875
Agnew;Roy;Dance of the Wild Men;Australian;1891;1944;Agnew: Dance Of The Wild Men;EOgmmiZ0iFE;Agnew Roy Dance of the Wild Men EOgmmiZiFE;16041746875
Agnew;Roy;Fantasie Sonata;Australian;1891;1944;Pianist Nicholas Young plays Roy Agnew's Fantasie Sonata;L7YSslhMWQU;Agnew Roy Fantasie Sonata L7YSslhMWQU;69570146875
Agnew;Roy;Green Valley;Australian;1891;1944;Agnew: Green Valley;mbdWId6bwQU;Agnew Roy Green Valley mbdWId6bwQU;12405746875
Agnew;Roy;Holiday Suite;Australian;1891;1944;Holiday Suite II (1937) Roy Agnew (1893-1944);p6kK1oMvvpk;Agnew Roy Holiday Suite p6kK1oMvvpk;12261746875
Agnew;Roy;2 Piano Pieces;Australian;1891;1944;Roy Agnew : 2 piano solos (1934);FxJoaQcBkvw;Agnew Roy 2 Piano Pieces FxJoaQcBkvw;16570946875
Agnew;Roy;2 Piano Solos;Australian;1891;1944;Roy Agnew : 2 piano solos (1934);FxJoaQcBkvw;Agnew Roy 2 Piano Solos FxJoaQcBkvw;16570946875
Agnew;Roy;2 Pieces;Australian;1891;1944;Roy Agnew : 2 piano solos (1934);FxJoaQcBkvw;Agnew Roy 2 Pieces FxJoaQcBkvw;16570946875
Agnew;Roy;Poem No.1;Australian;1891;1944;Roy Agnew - Poem no. 1;GHWFSi_4Ltg;Agnew Roy Poem No1 GHWFSi_4Ltg;15825746875
Agnew;Roy;Prelude No.1;Australian;1891;1944;AMEB Piano Series 17 Grade 7 List D No.1 D1 Agnew Prelude to Mrs William Murdoch No.4 by Alan;gHtoiDC0hpk;Agnew Roy Prelude No1 gHtoiDChpk;14655746875
Agnew;Roy;Rabbit Hill;Australian;1891;1944;Agnew: Rabbit Hill;iVrPfk_ODOA;Agnew Roy Rabbit Hill iVrPfk_ODOA;10774946875
Agnew;Roy;Rural Sketches;Australian;1891;1944;Agnew: Rural Sketches: Suite For Piano - 3. A Starry Night;ZAGQD_jcGf8;Agnew Roy Rural Sketches ZAGQD_jcGf8;12675746875
Agnew;Roy;Sonata Ballade;Australian;1891;1944;Edward Neeman plays Sonata Ballade by Roy Agnew;MXyvx1yfDHM;Agnew Roy Sonata Ballade MXyvx1yfDHM;54784946875
Agnew;Roy;2 Songs;Australian;1891;1944;Roy Agnew : 2 piano solos (1934);FxJoaQcBkvw;Agnew Roy 2 Songs FxJoaQcBkvw;16570946875
Agnew;Roy;Trains;Australian;1891;1944;Agnew: Trains;TMT6kYhk1vY;Agnew Roy Trains TMT6kYhk1vY;14076146875
Agnew;Roy;Youthful Fancies;Australian;1891;1944;Agnew: Youthful Fancies: Four Modern Pieces - 4. Sleeping Child;YIK8RatMELo;Agnew Roy Youthful Fancies YIK8RatMELo;13525346875
Aguirre;Julian;Gato;unknown;1868;1924;Julian Aguirre. Gato. Monica Zubczuk piano.;w9CjQXt12YA;Aguirre Julian Gato w9CjQXt12YA;18316946875
Aitken;George;Serenade Op.17;unknown;unknown;unknown;George Aitken : Serenade Op.17;1e3XI4ubM98;Aitken George Serenade Op17 1e3XI4ubM98;12499346875
Ajith;Sriram;Winter Night Op.1;unknown;unknown;unknown;Musique classique Piano. Orgue.12)2. Winter RhapsodyWinter Night Op.1 (Ajith Sriram);q5xi-3xarzY;Ajith Sriram Winter Night Op1 q5xi-3xarzY;27075746875
Akimenko;Theodore;Au coin du feu Op.28;unknown;1876;1945;Theodore Akimenko: Au coin de feu Op. 28: II - Re?verie;12uYxcYd4qU;Akimenko Theodore Au coin du feu Op28 12uYxcYd4qU;14810546875
Akimenko;Theodore;3 Danses idylliques Op.35;unknown;1876;1945;Theodore Akimenko : Trois Danses Idylliques  Op. 35;ZP-oDJ7dBsw;Akimenko Theodore 3 Danses idylliques Op35 ZP-oDJ7dBsw;37900946875
Akimenko;Theodore;Fantaisie Op.26b;unknown;1876;1945;Theodore Akimenko: Au coin de feu Op. 28: II - Re?verie;12uYxcYd4qU;;0
Akimenko;Theodore;Jeux Op.34;unknown;1876;1945;Theodore Akimenko Jeux Op.34  1/2 (sight read);oT9uPpgqty4;Akimenko Theodore Jeux Op34 oT9uPpgqty4;54057746875
Akimenko;Theodore;3 Morceaux Op.16;unknown;1876;1945;Theodore Akimenko: 3 Morceaux Op. 16: II - Idylle;K1FgrYM4w6s;Akimenko Theodore 3 Morceaux Op16 K1FgrYM4w6s;15145346875
Akimenko;Theodore;5 Morceaux Op.21;unknown;1876;1945;Theodore Akimenko Morceaux Op.21 4/5 (sight read);L7flLaW0CNo;Akimenko Theodore 5 Morceaux Op21 L7flLaWCNo;29181746875
Akimenko;Theodore;3 Morceaux Op.27;unknown;1876;1945;Theodore Akimenko: 3 Morceaux Op. 16: II - Idylle;K1FgrYM4w6s;Akimenko Theodore 3 Morceaux Op27 K1FgrYM4w6s;15145346875
Akimenko;Theodore;5 Morceaux Op.55;unknown;1876;1945;Theodore Akimenko: 3 Morceaux Op. 16: II - Idylle;K1FgrYM4w6s;;0
Akimenko;Theodore;3 Pieces for Violin and Piano;unknown;1876;1945;Theodore Akimenko: 3 Pieces Op  60bis: I - Melodie;bT3HqwIRZB4;;0
Akimenko;Theodore;3 Pieces Op.60bis;unknown;1876;1945;Theodore Akimenko: 3 Pieces Op  60bis: I - Melodie;bT3HqwIRZB4;Akimenko Theodore 3 Pieces Op6bis bT3HqwIRZB4;12751346875
Akimenko;Theodore;5 Preludes Op.23;unknown;1876;1945;Theodore Akimenko Preludes Op.23 3/5 (sight read);5i4TmV9nEr4;Akimenko Theodore 5 Preludes Op23 5i4TmV9nEr4;37245746875
Akimenko;Theodore;Rondeau fantastique Op.46b;unknown;1876;1945;Theodore Akimenko Sonate fantastique Op.44 1/3 (sight read);0R39bx38mqE;;0
Akimenko;Theodore;Sonate fantastique Op.44;unknown;1876;1945;Theodore Akimenko Sonate fantastique Op.44 1/3 (sight read);0R39bx38mqE;Akimenko Theodore Sonate fantastique Op44 R39bx38mqE;91350146875
Akimenko;Theodore;Uranie Op.25;unknown;1876;1945;Theodore Akimenko Uranie Op.25 1/4 (sight read);KtSZnIl9Ps0;Akimenko Theodore Uranie Op25 KtSZnIl9Ps;50421746875
Aksakov;Sergey;4 Pieces;unknown;1891;1968;Sergey Aksakov : Romance (from 4 piano pieces 1959);CJE1uTVreYU;Aksakov Sergey 4 Pieces CJE1uTVreYU;23983346875
Alain;Albert;Espagnolerie;unknown;1880;1971;Albert Alain : Espagnolerie;ts4pTlWdmMg;Alain Albert Espagnolerie ts4pTlWdmMg;18784946875
Alain;Albert;Nocturne;unknown;1880;1971;Albert Alain : Nocturne;XzXP2pzwHS4;Alain Albert Nocturne XzXP2pzwHS4;23612546875
Alais;Juan;Arturo;unknown;unknown;unknown;Arturo - Juan Alais (1844 - 1914);6Tsc4AcsBNA;Alais Juan Arturo 6Tsc4AcsBNA;12074546875
Alais;Juan;6 Estilos Criollos Op.8;unknown;unknown;unknown;Seis Estilos Criollos Ndeg6 - Juan Alais (1844 - 1914);5wCO0Fw3UBo;Alais Juan 6 Estilos Criollos Op8 5wCOFw3UBo;15141746875
Alario Del Rio;Victor Alberto;Fugue No.24 for 6 Voices Op.31 No.9;unknown;unknown;unknown;Chopin - Nocturne op.9 No.2;9E6b3swbnWg;;0
Alary;Joseph;Brise printaniere;unknown;unknown;unknown;Joseph Alary: Brise Printaniere;E-xiH41-IZA;Alary Joseph Brise printaniere E-xiH41-IZA;22845746875
Alary;Joseph;Serenade de Pierrot a Colombine Op.21;unknown;unknown;unknown;Joseph Alary: Serenade de Pierrot a Colombine Op. 21;HToOwt6_WKI;Alary Joseph Serenade de Pierrot a Colombine Op21 HToOwt6_WKI;13298546875
Alba;Antonio;Amor Naciente Op.21;unknown;unknown;unknown;Amor Naciente op.21 - Antonio Alba (1873 - 1940);Wy1Jnof4Rno;Alba Antonio Amor Naciente Op21 Wy1Jnof4Rno;27291746875
Alba;Antonio;Brisas Portenas Op.11;unknown;unknown;unknown;Brisas Portenas - Antonio Alba (1873 - 1940);IUZ5tVwlfcs;Alba Antonio Brisas Portenas Op11 IUZ5tVwlfcs;14706146875
Alba;Antonio;Ecos de Becos Op.12;unknown;unknown;unknown;Ecos de Becos - Antonio Alba (1873 - 1940);ktBoY5TpPvA;Alba Antonio Ecos de Becos Op12 ktBoY5TpPvA;18219746875
Alba;Antonio;A Ella;unknown;unknown;unknown;A Ella Op.56 - Antonio Alba (1873 - 1940);FWB_FPl8Bsg;Alba Antonio A Ella FWB_FPl8Bsg;14616146875
Alba;Antonio;El Ensueno Op.16;unknown;unknown;unknown;El Ensueno Op.16 - Antonio Alba (1873 - 1940);Mlv9ML6tAiw;Alba Antonio El Ensueno Op16 Mlv9ML6tAiw;9694946875
Alba;Antonio;Fue un sueno Op.57;unknown;unknown;unknown;Fue un sueno Op.57 - Antonio Alba (1873 - 1940);RGkpPWfcZm8;Alba Antonio Fue un sueno Op57 RGkpPWfcZm8;29750546875
Alba;Antonio;Penas Op.81;unknown;unknown;unknown;Penas op.81- Antonio Alba (1873 - 1940);RRBdIBZEzA4;Alba Antonio Penas Op81 RRBdIBZEzA4;24807746875
Alba;Antonio;Pensando en ti Op.9;unknown;unknown;unknown;Antonio Alba - Pensando En ti Habanera;MaCQttuzirY;Alba Antonio Pensando en ti Op9 MaCQttuzirY;9410546875
Alba;Antonio;Pitios;unknown;unknown;unknown;Pitios - Mazurka Op.8 - Antonio Alba (1873 - 1940);PlRD1p-349c;Alba Antonio Pitios PlRD1p-349c;11548946875
Alba;Antonio;Sensitiva;unknown;unknown;unknown;Sensitiva Op.96 - Antonio Alba (1873 - 1940);KZkSx7oTHk4;Alba Antonio Sensitiva KZkSx7oTHk4;21124946875
Alba;Antonio;Siempre Tuyo;unknown;unknown;unknown;Siempre Tuyo Op.148 - Antonio Alba (1873 - 1940);Xbl00Tz5KhQ;Alba Antonio Siempre Tuyo XblTz5KhQ;20070146875
Alba;Antonio;Suspiros del Alma Op.90;unknown;unknown;unknown;Suspiros del Alma Op.90 - Antonio Alba (1873 - 1940);3TmpXMeJeGM;Alba Antonio Suspiros del Alma Op9 3TmpXMeJeGM;31219346875
Alba;Antonio;Vals Espanol Op.35;unknown;unknown;unknown;Vals Espanol Op.35 - Antonio Alba (1873 - 1940);2asGUnOwR2k;Alba Antonio Vals Espanol Op35 2asGUnOwR2k;28764146875
Albert;Charles d';The Grand Exposition Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';Iolanthe Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;Albert Charles d' Iolanthe Quadrille l_ybTnCl9XI;31057346875
Albert;Charles d';Little Bo-Peep Quadrilles;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';The Pacha Quadrilles;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';Palermo quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;Albert Charles d' Palermo quadrille l_ybTnCl9XI;31057346875
Albert;Charles d';Patience Lancers;unknown;unknown;unknown;Waltzes From Musicals - Patience by Gilbert and Sullivan (Arranged by Charles D'Albert);3SEufPIC-rY;Albert Charles d' Patience Lancers 3SEufPIC-rY;42498146875
Albert;Charles d';Patience Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;Albert Charles d' Patience Quadrille l_ybTnCl9XI;31057346875
Albert;Charles d';Patience Waltz;unknown;unknown;unknown;Waltzes From Musicals - Patience by Gilbert and Sullivan (Arranged by Charles D'Albert);3SEufPIC-rY;Albert Charles d' Patience Waltz 3SEufPIC-rY;42498146875
Albert;Charles d';The Pirates of Penzance Galop;unknown;unknown;unknown;Waltzes From Musicals - The Pirates of Penzance by Gilbert and Sullivan (arr.by Charles D'Albert);aYe0hOqiPDo;Albert Charles d' The Pirates of Penzance Galop aYehOqiPDo;47390546875
Albert;Charles d';The Pirates of Penzance Polka;unknown;unknown;unknown;Waltzes From Musicals - The Pirates of Penzance by Gilbert and Sullivan (arr.by Charles D'Albert);aYe0hOqiPDo;Albert Charles d' The Pirates of Penzance Polka aYehOqiPDo;47390546875
Albert;Charles d';The Pirates of Penzance Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';The Pirates of Penzance Waltz;unknown;unknown;unknown;Waltzes From Musicals - The Pirates of Penzance by Gilbert and Sullivan (arr.by Charles D'Albert);aYe0hOqiPDo;Albert Charles d' The Pirates of Penzance Waltz aYehOqiPDo;47390546875
Albert;Charles d';The Queen's Galop;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';The Royal Visit Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';The Sorcerer Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';The Sydney Exhibition Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Charles d';Trial by Jury Quadrille;unknown;unknown;unknown;Charles d'Albert : Paris  Quadrille on popular French airs;l_ybTnCl9XI;;0
Albert;Eugen d';Flauto solo;British;1864;1932;Sonata for piano Op. 10 by Eugen d'Albert (1864-1932);67iZqAah6pc;;0
Albery;Dorothy;Prelude in D-flat major;unknown;unknown;unknown;Dorothy Albery: Prelude in D? major;92WqaR55U0o;Albery Dorothy Prelude in D-flat major 92WqaR55Uo;10465346875
Alburger;Mark;Nocturnes for Insomniacs Op.10;American;1957;2010;Mark Alburger - Nocturnes for Insomniacs: I. Night Music I;q1zzfqcpCcA;Alburger Mark Nocturnes for Insomniacs Op1 q1zzfqcpCcA;11743346875
Alburger;Mark;The Twelve Fingers Op.8;American;1957;2010;Mark Alburger - The Twelve Fingers: VIII. Sonata;ZUmCV1zUuBw;Alburger Mark The Twelve Fingers Op8 ZUmCV1zUuBw;12495746875
Alburger;Mark;Variations and Theme Op.6;American;1957;2010;Mark Alburger - Variations and Theme: VI;_dxxgrM4JbI;Alburger Mark Variations and Theme Op6 _dxxgrM4JbI;1659746875
Albeniz;Isaac;Azulejos;Spanish;1860;1909;Isaac Albeniz: Azulejos (1909) completada por Enrique Granados;UymneP83Esw;Albeniz Isaac Azulejos UymneP83Esw;50263346875
Albeniz;Isaac;Barcarola Op.23;Spanish;1860;1909;Albeniz Barcarola op.  23 Wolfgang Weller 2016.;dJ3qmtEcQoA;Albeniz Isaac Barcarola Op23 dJ3qmtEcQoA;35809346875
Albeniz;Isaac;Mallorca Op.202;Spanish;1860;1909;Isaac Albeniz: Mallorca barcarola Op. 202 (1891);G7T6x5-7ze0;Albeniz Isaac Mallorca Op22 G7T6x5-7ze;38703746875
Albeniz;Isaac;Navarra;Spanish;1860;1909;Isaac Albeniz/De Severac: Navarra (1907);uw7D68i4vXE;Albeniz Isaac Navarra uw7D68i4vXE;32414546875
Albeniz;Isaac;Pavana-Capricho Op.12;Spanish;1860;1909;Isaac Albeniz: Pavana-Capricho Op. 12 (1882);P8hm3jouhYk;Albeniz Isaac Pavana-Capricho Op12 P8hm3jouhYk;20851346875
Albeniz;Isaac;12 Piezas caracteristicas Op.92;Spanish;1860;1909;Isaac Albeniz: Torre Bermeja (1888) de Doce piezas caracteristicas Op. 92 no 12;V7xuPiiGqio;Albeniz Isaac 12 Piezas caracteristicas Op92 V7xuPiiGqio;25614146875
Albeniz;Isaac;Rapsodia Cubana Op.66;Spanish;1860;1909;Isaac Albeniz: Rapsodia Cubana Op. 66 (1886);a7AJNG6v45g;Albeniz Isaac Rapsodia Cubana Op66 a7AJNG6v45g;26946146875
Albeniz;Isaac;Les saisons Op.201;Spanish;1860;1909;Isaac Albeniz: Les Saisons (Las estaciones) Op. 201 (1891);3tn5mkzkhqQ;Albeniz Isaac Les saisons Op21 3tn5mkzkhqQ;60627746875
Albeniz;Isaac;Suite Espanola No.2 Op.97;Spanish;1860;1909;Isaac Albeniz: Zaragoza (1889) de Suite Espanola no 2 Op. 97;RPFr6VlGXYc;Albeniz Isaac Suite Espanola No2 Op97 RPFr6VlGXYc;22417346875
Albeniz;Isaac;La Vega;Spanish;1860;1909;Isaac Albeniz: La Vega (1897);xkXHTgrMdFk;Albeniz Isaac La Vega xkXHTgrMdFk;81716546875
Alden;Bob;The American Dancers;unknown;unknown;unknown;The American Dancers by Bob Alden (1908 Ragtime piano);rsmDH2Zopt0;Alden Bob The American Dancers rsmDH2Zopt;9460946875
Aledo;M.;Agnes Waltz;unknown;unknown;unknown;Agnes Waltz | M. Aledo | for Piano;3LLsIGR0t9o;Aledo M Agnes Waltz 3LLsIGRt9o;18612146875
Alenev;Yevgeny;4 Morceaux Op.10;unknown;unknown;unknown;Sofija Janjikopanji & Pietro Pittari play Sergei Rachmaninoff Six Morceaux Op. 11;wll8wh3McmA;;0
Alenev;Yevgeny;10 Morceaux Op.11;unknown;unknown;unknown;Sofija Janjikopanji & Pietro Pittari play Sergei Rachmaninoff Six Morceaux Op. 11;wll8wh3McmA;;0
Alenev;Yevgeny;6 Morceaux Op.12;unknown;unknown;unknown;Sofija Janjikopanji & Pietro Pittari play Sergei Rachmaninoff Six Morceaux Op. 11;wll8wh3McmA;;0
Aletter;Wilhelm;Im Mai des Lebens Op.326;unknown;1867;1934;Gustave Lange: Aus des Lebens Mai Op. 292 1-3;G8ULJn55A7Y;;0
Alexandra;Liana;Welcome Rich;Romanian;1947;2011;Liana Alexandra: WELCOME RICH;IyMjNxekhyo;Alexandra Liana Welcome Rich IyMjNxekhyo;30798146875
Alferaki;Achilles;3 Morceaux Op.25;unknown;unknown;unknown;Achilles Alferaki [Alpheraky] Trois Morceaux Op. 30 #1 - Etude;ePtnmJxtmxg;;0
Alferaki;Achilles;3 Morceaux Op.27;unknown;unknown;unknown;Achilles Alferaki - Valse in Eb Op.27/3;JZar5qGriIc;Alferaki Achilles 3 Morceaux Op27 JZar5qGriIc;14724146875
Alferaki;Achilles;3 Morceaux Op.29;unknown;unknown;unknown;Achilles Alferaki - Valse in Eb Op.27/3;JZar5qGriIc;;0
Alferaki;Achilles;3 Morceaux Op.30;unknown;unknown;unknown;Achilles Alferaki [Alpheraky] Trois Morceaux Op. 30 #1 - Etude;ePtnmJxtmxg;Alferaki Achilles 3 Morceaux Op3 ePtnmJxtmxg;10108946875
Alkan;Charles-Valentin;Alleluia Op.25;French;1813;1888;Charles-Valentin Alkan - Alleluia Op. 25 (CHRISTMAS AND NEW YEAR TRIBUTE);ghXYYxHl4VU;Alkan Charles-Valentin Alleluia Op25 ghXYYxHl4VU;20811746875
Alkan;Charles-Valentin;3 Andantes romantiques Op.13;French;1813;1888;Trois Andantes Romantiques Op. 13 No 2 - C V Alkan;1dUMXk1-iOU;Alkan Charles-Valentin 3 Andantes romantiques Op13 1dUMXk1-iOU;33120146875
Alkan;Charles-Valentin;Bourree d'Auvergne Op.29;French;1813;1888;Alkan:Op.29Bourree d'Auvergne(Sheet Music);IevzDo5LBFM;Alkan Charles-Valentin Bourree d'Auvergne Op29 IevzDo5LBFM;43639346875
Alkan;Charles-Valentin;Capriccio alla soldatesca Op.50;French;1813;1888;Alkan: Capriccio Alla Soldatesca Op. 50 (Ronald Smith 1992 recording);dnnTZcIAVvE;Alkan Charles-Valentin Capriccio alla soldatesca Op5 dnnTZcIAVvE;41144546875
Alkan;Charles-Valentin;Chapeau bas!;French;1813;1888;Charles-Valentin Alkan-Chapeau bas! (Synthesia);vFpL6KY-2W4;Alkan Charles-Valentin Chapeau bas! vFpL6KY-2W4;45954146875
Alkan;Charles-Valentin;2e verset du 41e Psaume;French;1813;1888;Charles-Valentin Alkan: '2e verset du 41e Psaume';S7-WAxfY3VM;Alkan Charles-Valentin 2e verset du 41e Psaume S7-WAxfY3VM;33714146875
Alkan;Charles-Valentin;Esquisses Op.63;French;1813;1888;Alkan - 48 Esquisses Op. 63 ?1:  La Vision;ioT8SqcU0is;Alkan Charles-Valentin Esquisses Op63 ioT8SqcUis;18892946875
Alkan;Charles-Valentin;Etude alla barbaro;French;1813;1888;Charles-Valentin Alkan - Etude alla barbaro (NEW YEAR TRIBUTE);Ex3Em_P6TCI;Alkan Charles-Valentin Etude alla barbaro Ex3Em_P6TCI;16484546875
Alkan;Charles-Valentin;Etude WoO;French;1813;1888;"""Charles-Valentin Alkan - Etude Op. 39 No. 2 """"En rythme molossique"""" (GSARCI BIRTHDAY PRESENT)""";c297e_yjlAQ;Alkan Charles-Valentin Etude WoO c297e_yjlAQ;47361746875
Alkan;Charles-Valentin;12 Etudes in All the Major Keys Op.35;French;1813;1888;Alkan 12 Etudes in all Major Keys Op.35 - No.7 in E Flat Major;BGmeOYaExno;Alkan Charles-Valentin 12 Etudes in All the Major Keys Op35 BGmeOYaExno;61282946875
Alkan;Charles-Valentin;Gigue et air de ballet Op.24;French;1813;1888;Charles-Valentin Alkan-Gigue et air de ballet Op.24;3sbv3gfx5TY;Alkan Charles-Valentin Gigue et air de ballet Op24 3sbv3gfx5TY;34887746875
Alkan;Charles-Valentin;Grande fantaisie sur Don Juan Op.26;French;1813;1888;Charles Valentin Alkan - Fantaisie a quatre mains sur Don Juan Op.26 or 25 - GOLDSTONE & CLEMMOW;lIRcC2dRV_4;Alkan Charles-Valentin Grande fantaisie sur Don Juan Op26 lIRcC2dRV_4;76568546875
Alkan;Charles-Valentin;11 grands preludes et 1 transcription du Messie de Haendel Op.66;French;1813;1888;Alkan:Op.66 11 grands preludes et 1 transcription du Messie de Haendel No.10(Sheet Music);bj52mjB8s7Y;Alkan Charles-Valentin 11 grands preludes et 1 transcription du Messie de Haendel Op66 bj52mjB8s7Y;18540146875
Alkan;Charles-Valentin;Jean qui pleure et Jean qui rit;French;1813;1888;"""Charles-Valentin Alkan-""""Jean qui pleure et Jean qui rit"""" (Synthesia)""";JKgg8-E9bfY;Alkan Charles-Valentin Jean qui pleure et Jean qui rit JKgg8-E9bfY;38516546875
